GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
branch-server,com.pos.branch.pattern.strategy,QRPaymentStrategy,0,11,0,0,0,2,0,2,0,2
branch-server,com.pos.branch.pattern.strategy,PaymentStrategyFactory,0,23,0,2,0,7,0,3,0,2
branch-server,com.pos.branch.pattern.strategy,PaymentResult,0,12,0,0,0,1,0,1,0,1
branch-server,com.pos.branch.pattern.strategy,CashPaymentStrategy,0,11,0,0,0,2,0,2,0,2
branch-server,com.pos.branch.pattern.strategy,CardPaymentStrategy,0,11,0,0,0,2,0,2,0,2
branch-server,com.pos.branch.pattern.strategy,PaymentRequest,0,9,0,0,0,1,0,1,0,1
branch-server,com.pos.branch.pattern.observer,PriceChangePublisher,6,30,0,2,2,8,1,4,1,3
branch-server,com.pos.branch.pattern.observer,AuditLogObserver,0,41,0,0,0,9,0,4,0,4
branch-server,com.pos.branch.pattern.observer,PriceChangeEvent,0,15,0,0,0,1,0,1,0,1
branch-server,com.pos.branch.pattern.observer,POSSyncNotifier,0,36,0,0,0,9,0,4,0,4
branch-server,com.pos.branch.dto,SyncRequest,0,9,0,0,0,1,0,1,0,1
branch-server,com.pos.branch.dto,ProductResponse,0,18,0,0,0,1,0,1,0,1
branch-server,com.pos.branch.dto,SaleItemRequest,0,18,0,0,0,1,0,1,0,1
branch-server,com.pos.branch.dto,SaleResponse,0,9,0,0,0,1,0,1,0,1
branch-server,com.pos.branch.dto,SyncResponse,0,9,0,0,0,1,0,1,0,1
branch-server,com.pos.branch.dto,SaleRequest,0,21,0,0,0,1,0,1,0,1
branch-server,com.pos.branch,BranchServerApplication,5,3,0,0,2,1,1,1,1,1
branch-server,com.pos.branch.config,ThreadPoolConfig,0,23,0,0,0,8,0,2,0,2
branch-server,com.pos.branch.config,OpenAPIConfig,0,17,0,0,0,6,0,2,0,2
branch-server,com.pos.branch.service,SyncServiceImpl,5,59,2,4,2,15,2,3,0,2
branch-server,com.pos.branch.service,SaleServiceImpl,51,241,1,7,4,53,7,7,6,4
branch-server,com.pos.branch.service,ProductServiceImpl,80,67,2,0,14,15,5,5,4,5
branch-server,com.pos.branch.model,PaymentType,0,17,0,0,0,5,0,5,0,5
branch-server,com.pos.branch.model,DiscountRule,0,42,0,0,0,13,0,11,0,11
branch-server,com.pos.branch.model,SaleItem,0,55,0,0,0,16,0,15,0,15
branch-server,com.pos.branch.model,POSTerminal,0,24,0,0,0,7,0,7,0,7
branch-server,com.pos.branch.model,Barcode,0,24,0,0,0,7,0,7,0,7
branch-server,com.pos.branch.model,Category,7,17,0,0,2,5,2,5,2,5
branch-server,com.pos.branch.model,Inventory,0,31,0,0,0,9,0,9,0,9
branch-server,com.pos.branch.model,Product,24,45,0,0,7,16,7,10,7,10
branch-server,com.pos.branch.model,Sale,0,66,0,0,0,21,0,17,0,17
branch-server,com.pos.branch.model,ProductPrice,0,34,0,0,0,11,0,9,0,9
branch-server,com.pos.branch.model,Branch,7,24,0,0,2,7,2,7,2,7
branch-server,com.pos.branch.exception,ProductNotFoundException,0,4,0,0,0,2,0,1,0,1
branch-server,com.pos.branch.exception,DuplicateSaleException,0,4,0,0,0,2,0,1,0,1
branch-server,com.pos.branch.exception,GlobalExceptionHandler,55,41,0,0,12,8,3,5,3,5
branch-server,com.pos.branch.exception,InsufficientStockException,0,4,0,0,0,2,0,1,0,1
branch-server,com.pos.branch.controller,SyncController,7,6,0,0,2,3,1,1,1,1
branch-server,com.pos.branch.controller,ProductController,24,6,0,0,4,3,3,1,3,1
branch-server,com.pos.branch.controller,CentralSyncController,34,6,4,0,8,3,3,1,1,1
branch-server,com.pos.branch.controller,SaleController,7,25,1,1,1,6,2,2,1,2
